name,era,sex,g1_wins_total,won_february_stakes,won_takamatsunomiya_kinen,won_osaka_hai,won_oka_sho,won_satsuki_sho,won_tenno_sho_spring,won_nhk_mile_cup,won_victoria_mile,won_yushun_himba,won_tokyo_yushun,won_yasuda_kinen,won_takarazuka_kinen,won_sprinters_stakes,won_shuka_sho,won_kikuka_sho,won_tenno_sho_autumn,won_elizabeth_queen_cup,won_mile_championship,won_japan_cup,won_champions_cup,won_hanshin_juvenile_fillies,won_asahi_hai_futurity_stakes,won_arima_kinen,won_hopeful_stakes,won_overseas_g1,won_sprint_g1,won_mile_g1,won_2000plus_g1,won_2400plus_g1,won_classic_g1,won_2yo_g1,won_female_limited_g1,won_same_g1_twice,jra_flat_g1_win_names,overseas_g1_win_names,notes,won_dirt_g1,won_3000plus_g1
クロノジェネシス,2020年代,牝,4,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,true,宝塚記念・秋華賞・有馬記念,,宝塚記念は複数勝利,false,false
リスグラシュー,2010年代,牝,4,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false,true,false,宝塚記念・エリザベス女王杯・有馬記念,コックスプレート,,false,false
ダイワスカーレット,2000年代,牝,4,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,true,false,桜花賞・秋華賞・エリザベス女王杯・有馬記念,,,false,false
ラッキーライラック,2020年代,牝,4,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,true,大阪杯・エリザベス女王杯・阪神JF／阪神3歳牝馬S,,エリザベス女王杯は複数勝利,false,false
リバティアイランド,2020年代,牝,4,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,桜花賞・オークス・秋華賞・阪神JF／阪神3歳牝馬S,,,false,false
ドウデュース,2020年代,牡,4,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,false,false,日本ダービー・天皇賞・秋・ジャパンC・朝日杯FS／朝日杯3歳S,,,false,false
ラヴズオンリーユー,2020年代,牝,4,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,オークス,クイーンエリザベス2世カップ・ブリーダーズカップフィリー&メアターフ・香港カップ,,false,false
エルコンドルパサー,1990年代,牡,3,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,NHKマイルC・ジャパンC,サンクルー大賞,,false,false
ジャスタウェイ,2010年代,牡,3,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,安田記念・天皇賞・秋,ドバイデューティーフリー,,false,false
ヴィクトワールピサ,2010年代,牡,3,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,false,false,皐月賞・有馬記念,ドバイワールドカップ,,false,false
エフフォーリア,2020年代,牡,3,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,皐月賞・天皇賞・秋・有馬記念,,,false,false
アドマイヤマーズ,2010年代,牡,3,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,NHKマイルC・朝日杯FS／朝日杯3歳S,香港マイル,,false,false
ソングライン,2020年代,牝,3,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,ヴィクトリアマイル・安田記念,,安田記念は複数勝利,false,false
フィエールマン,2010年代,牡,3,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,天皇賞・春・菊花賞,,天皇賞春は複数勝利,false,true
サクラバクシンオー,1990年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,スプリンターズS,,スプリンターズSは複数勝利,false,false
カレンチャン,2010年代,牝,2,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,高松宮記念・スプリンターズS,,,false,false
サトノダイヤモンド,2010年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,菊花賞・有馬記念,,,false,true
エアグルーヴ,1990年代,牝,2,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,オークス・天皇賞・秋,,,false,false
ヒシアマゾン,1990年代,牝,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,false,false,true,true,false,エリザベス女王杯・阪神JF／阪神3歳牝馬S,,,false,false
アドマイヤグルーヴ,2000年代,牝,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,エリザベス女王杯,,エリザベス女王杯は複数勝利,false,false
レイデオロ,2010年代,牡,2,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,日本ダービー・天皇賞・秋,,,false,false
スワーヴリチャード,2010年代,牡,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,大阪杯・ジャパンC,,,false,false
アルアイン,2010年代,牡,2,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,大阪杯・皐月賞,,,false,false
サートゥルナーリア,2010年代,牡,2,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,false,false,皐月賞・ホープフルS,,,false,false
スターズオンアース,2020年代,牝,2,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,桜花賞・オークス,,,false,false
ローズキングダム,2010年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,true,false,true,false,false,ジャパンC・朝日杯FS／朝日杯3歳S,,,false,false
エイシンプレストン,2000年代,牡,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,true,朝日杯FS／朝日杯3歳S,香港マイル・クイーンエリザベス2世カップ×2,,false,false
ウインブライト,2010年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,,クイーンエリザベス2世カップ・香港カップ,,false,false
グローリーヴェイズ,2020年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,,香港ヴァーズ×2,,false,false
ノームコア,2020年代,牝,2,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,ヴィクトリアマイル,香港カップ,,false,false
トランセンド,2010年代,牡,2,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,フェブラリーS・チャンピオンズC／ジャパンCダート,,,true,false
カネヒキリ,2000年代,牡,3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,フェブラリーS・チャンピオンズC／ジャパンCダート,,ジャパンCダートは複数勝利。Jpn1を含めると勝利数は増える,true,false
コパノリッキー,2010年代,牡,3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,フェブラリーS・チャンピオンズC／ジャパンCダート,,フェブラリーSは複数勝利。Jpn1を含めると勝利数は増える,true,false
レモンポップ,2020年代,牡,3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,フェブラリーS・チャンピオンズC／ジャパンCダート,,チャンピオンズCは複数勝利。Jpn1を含めると勝利数は増える,true,false
ミスターシービー,1980年代,牡,4,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,皐月賞・日本ダービー・菊花賞・天皇賞・秋,,1983年クラシック三冠はグレード制導入前。ゲーム上はG1相当として含める。1984年天皇賞・秋はGI。,false,true
カツラギエース,1980年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,宝塚記念・ジャパンC,,1984年の宝塚記念・ジャパンC勝ち馬。,false,false
ニホンピロウイナー,1980年代,牡,3,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,安田記念・マイルCS,,マイルCSは複数勝利。,false,false
ギャロップダイナ,1980年代,牡,2,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,安田記念・天皇賞・秋,,,false,false
メジロラモーヌ,1980年代,牝,3,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,桜花賞・オークス・エリザベス女王杯,,,false,false
マックスビューティ,1980年代,牝,2,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,桜花賞・オークス,,,false,false
ダイナガリバー,1980年代,牡,2,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,日本ダービー・有馬記念,,,false,false
メジロデュレン,1980年代,牡,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,菊花賞・有馬記念,,,false,true
サクラスターオー,1980年代,牡,2,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,皐月賞・菊花賞,,,false,true
サクラチヨノオー,1980年代,牡,2,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,false,false,日本ダービー・朝日杯FS／朝日杯3歳S,,,false,false
タマモクロス,1980年代,牡,3,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,天皇賞・春・宝塚記念・天皇賞・秋,,,false,true
オグリキャップ,1980年代,牡,4,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,true,false,false,false,true,安田記念・マイルCS・有馬記念,,有馬記念は複数勝利。,false,false
イナリワン,1980年代,牡,3,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,天皇賞・春・宝塚記念・有馬記念,,,false,true
スーパークリーク,1980年代,牡,3,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,天皇賞・春・菊花賞・天皇賞・秋,,,false,true
ヤエノムテキ,1980年代,牡,2,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,皐月賞・天皇賞・秋,,,false,false
ニッポーテイオー,1980年代,牡,3,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,安田記念・マイルCS・天皇賞・秋,,,false,false
